CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
380,Italy,0.3102,0.3101,0.3052,0.3015,0.2919,0.2996,0.2976,0.2952,0.2967,0.2891,0.286,0.2801,0.2803,0.2901,0.2879,0.2856,0.2771,0.2686,0.2627,0.2496,0.248
388,Jamaica, , , , , , , , , , , , , , , ,0.5671, , , , , 
392,Japan,0.3341,0.3251,0.3292,0.3242,0.3404,0.3368,0.3342,0.3279,0.3227,0.3343,0.3328,0.3269,0.3298,0.3299,0.3281,0.3183,0.3113,0.3095,0.3017,0.2913,0.2966
400,Jordan,0.9967,0.9219,0.9726,0.917,0.9841,0.9216,0.9447,0.9294,0.91,0.8817,0.9003,0.8825,0.8803,0.8742,0.8869,0.8964,0.8176,0.7852,0.7059,0.685,0.6559
398,Kazakhstan, , ,2.6752,2.493,2.5735,2.343,1.9673,1.7816,1.7528,1.5898,1.588,1.6197,1.5154,1.4035,1.4333,1.3429,1.3199,1.387,1.4044,1.2892,1.3959
404,Kenya,0.1748,0.1432,0.1653,0.1887,0.1899,0.2095,0.2484,0.2191,0.2576,0.2551,0.2598,0.2251,0.1904,0.1568,0.1684,0.1786,0.1878,0.1802,0.1849,0.217,0.2065
296,Kiribati,0.1584,0.1655,0.1604,0.155,0.1478,0.1492,0.2365,0.1756,0.1801,0.158,0.1676,0.1363,0.1974,0.1889,0.2059,0.2975,0.3373,0.2406,0.2658,0.1979,0.3026
410,"Korea, Republic of",0.5061,0.4899,0.503,0.5367,0.5285,0.5273,0.5309,0.5403,0.4921,0.4927,0.5083,0.4918,0.4747,0.4623,0.4571,0.4221,0.4081,0.409,0.4096,0.4094,0.429
414,Kuwait, , ,0.4741,0.5584,0.6022,0.8092,0.7358,0.7863,0.7147,0.7597,0.7412,0.7351,0.683,0.6804,0.6362,0.6478,0.6349,0.6204,0.6281,0.6781,0.7504
417,Kyrgyzstan, , ,1.2353,1.1174,1.0186,0.7897,0.929,0.829,0.8623,0.6517,0.6137,0.4864,0.6238,0.6406,0.6402,0.5889,0.5615,0.5903,0.5269,0.5842,0.5796
418,Lao People's Democratic Republic,0.0594,0.0613,0.064,0.0605,0.0603,0.0707,0.0886,0.1045,0.1133,0.1405,0.1349,0.1184,0.1458,0.1319,0.1563,0.147,0.1491,0.1463,0.1417,0.1371,0.1307
428,Latvia, , ,0.8476,0.7978,0.7296,0.6276,0.5954,0.4844,0.4464,0.3607,0.3084,0.3134,0.2857,0.284,0.2629,0.2392,0.2252,0.2141,0.2141,0.2346,0.2627
422,Lebanon,0.5379,0.4063,0.4649,0.446,0.4514,0.4529,0.4364,0.5065,0.5055,0.5211,0.4755,0.4829,0.4623,0.5087,0.4373,0.4178,0.3707,0.356,0.3625,0.4195,0.3825
426,Lesotho, , , , , , , , , , , , , , , , , ,0.0026,0.0063,0.0087,0.0057
430,Liberia,0.6402,0.4411,0.6889,1.1449,1.4452,1.5806,1.4561,0.7284,0.6137,0.5224,0.4452,0.4199,0.3183,0.5023,0.6238,0.6734,0.6283,0.4851,0.3729,0.3005,0.4098
434,Libyan Arab Jamahiriya, , , , , , , , , ,0.7007,0.7135,0.7612,0.7669,0.6976,0.6844,0.6444,0.6281,0.5972,0.6409,0.7035, 
440,Lithuania, , ,0.6452,0.6083,0.669,0.6045,0.558,0.5062,0.4967,0.4244,0.3663,0.3634,0.3477,0.3083,0.2965,0.2887,0.2734,0.2636,0.2557,0.2496,0.2656
442,Luxembourg,0.6135,0.599,0.5857,0.5739,0.5222,0.4202,0.4199,0.3729,0.3245,0.3127,0.3091,0.3221,0.3311,0.3425,0.3734,0.3634,0.3407,0.3059,0.306,0.303,0.311
450,Madagascar,0.0843,0.098,0.0943,0.0946,0.1164,0.1141,0.1202,0.1396,0.1373,0.1453,0.135,0.1183,0.0962,0.1205,0.1217,0.1121,0.1031,0.1047,0.1047,0.1028,0.1118
454,Malawi,0.1141,0.1132,0.1214,0.1169,0.1352,0.1176,0.1067,0.1097,0.1154,0.1347,0.1205,0.1268,0.1216,0.1248,0.1213,0.1109,0.1129,0.1031,0.1154,0.0971,0.1066
458,Malaysia,0.4521,0.5002,0.5043,0.559,0.5246,0.6155,0.5791,0.5372,0.5305,0.4724,0.5091,0.5469,0.5129,0.575,0.5622,0.5658,0.5155,0.5835,0.5781,0.5612,0.557
462,Maldives, , , , , ,0.3366,0.358,0.373,0.3092,0.4023,0.4112,0.4588,0.5173,0.3933,0.4543,0.4482,0.4749,0.4441,0.4351,0.4835,0.4603
466,Mali,0.0732,0.0744,0.0699,0.0732,0.0737,0.0704,0.071,0.0714,0.0664,0.0649,0.0633,0.0568,0.0554,0.0501,0.0514,0.0487,0.0463,0.0452,0.0442,0.0436,0.0419
470,Malta,0.4497,0.4034,0.3792,0.4744,0.4101,0.3363,0.3425,0.3652,0.2954,0.3086,0.2543,0.311,0.2797,0.3138,0.3144,0.318,0.2967,0.3012,0.2711,0.2716,0.2742
478,Mauritania,0.7579,0.768,0.8074,0.7672,0.8345,0.726,0.6896,0.7186,0.2546,0.2551,0.2641,0.2826,0.2984,0.2894,0.303,0.2856,0.2403,0.27,0.2754,0.305,0.2908
480,Mauritius,0.2264,0.2255,0.2377,0.235,0.2064,0.223,0.2252,0.2183,0.2262,0.2477,0.2549,0.2662,0.262,0.2667,0.2561,0.27,0.2877,0.2797,0.2696,0.2558,0.2617
484,Mexico,0.3733,0.3718,0.3611,0.3562,0.3592,0.3611,0.3568,0.3514,0.349,0.3436,0.322,0.3337,0.328,0.3356,0.3265,0.3351,0.3237,0.3234,0.3305,0.3327,0.3134
583,Micronesia, , , , , , , ,0.2593,0.265,0.3775,0.4197,0.5338,0.4432,0.4352,0.4498,0.3504,0.309,0.3032,0.3112,0.3082,0.3128
496,Mongolia,1.8814,2.5043,2.5046,2.1747,1.8199,1.7029,1.6904,1.5603,1.5091,1.4349,1.4096,1.4381,1.4433,1.3076,1.2581,1.1862,1.2002,1.1568,1.0556,1.1782,1.1537
499,Montenegro, , , , , , , , , , , , , , , , ,0.4252,0.3628,0.4144,0.2912,0.4026
504,Morocco,0.3505,0.3478,0.3778,0.4136,0.3937,0.4319,0.3953,0.4129,0.3857,0.397,0.3996,0.4133,0.4058,0.3747,0.4123,0.4231,0.4069,0.4199,0.395,0.3741,0.3686
508,Mozambique,0.1868,0.1827,0.1876,0.1859,0.173,0.1748,0.1525,0.1496,0.1359,0.1318,0.148,0.1549,0.1431,0.163,0.1502,0.131,0.1339,0.1507,0.1381,0.1429,0.1498
516,Namibia,0.0046,0.1665,0.1715,0.1796,0.1919,0.2279,0.2367,0.2333,0.2397,0.2025,0.1931,0.2342,0.1951,0.1992,0.1858,0.2134,0.2009,0.1972,0.2834,0.2548,0.2386
524,Nepal,0.0467,0.0665,0.0885,0.0939,0.1005,0.1164,0.135,0.1438,0.113,0.1547,0.1463,0.1491,0.1169,0.1225,0.1097,0.1246,0.0986,0.0967,0.1029,0.1133,0.1157
528,Netherlands,0.4161,0.4077,0.3917,0.3997,0.3886,0.3774,0.3936,0.3612,0.3415,0.3158,0.3082,0.3059,0.3149,0.3188,0.3151,0.3006,0.2823,0.279,0.2774,0.281,0.2968
554,New Zealand,0.3664,0.3793,0.3899,0.3924,0.3656,0.3605,0.3687,0.3901,0.3756,0.3901,0.3822,0.3871,0.355,0.3477,0.3433,0.3243,0.3183,0.31,0.3206,0.3039,0.296
558,Nicaragua,0.2528,0.1993,0.237,0.2288,0.2443,0.2524,0.2454,0.2581,0.2709,0.2683,0.2673,0.2736,0.2765,0.2947,0.2808,0.2628,0.2609,0.2555,0.237,0.2466,0.2418
562,Niger,0.1522,0.1466,0.1499,0.1656,0.158,0.1623,0.1733,0.168,0.1614,0.1603,0.1221,0.1087,0.1131,0.1162,0.1271,0.1046,0.0963,0.0947,0.0973,0.1162,0.14
566,Nigeria,0.3282,0.3125,0.4354,0.3943,0.306,0.2234,0.248,0.2401,0.2356,0.2598,0.4357,0.4449,0.5157,0.4438,0.4181,0.428,0.3792,0.3443,0.316,0.2288,0.2331
578,Norway,0.2285,0.2263,0.202,0.2138,0.1849,0.2118,0.1915,0.187,0.1945,0.2145,0.1965,0.204,0.1831,0.2065,0.1988,0.1927,0.1962,0.1947,0.2172,0.2067,0.2494
512,Oman,0.4157,0.4052,0.3835,0.4029,0.4412,0.4364,0.4024,0.3891,0.4053,0.5075,0.5091,0.4389,0.5372,0.6811,0.5692,0.5846,0.7341,0.7739,0.6319,0.6128,0.8371
586,Pakistan,0.3784,0.3585,0.355,0.3739,0.392,0.3719,0.3965,0.3936,0.3958,0.3925,0.3992,0.3981,0.4064,0.4039,0.4164,0.4016,0.4043,0.4162,0.4039,0.3929,0.3879
585,Palau, ,1.0425,0.5403,0.5944,0.554,0.5177,0.4813,0.4705,0.4612,0.4876,0.4861,0.7506,0.7778,0.8225,0.7676,0.7432,0.7631,0.7935,0.8451,0.8858,0.9127
591,Panama,0.1887,0.2021,0.2445,0.2152,0.2303,0.1557,0.2346,0.2691,0.2641,0.2422,0.2409,0.2899,0.2375,0.2389,0.2096,0.2304,0.2288,0.1973,0.1905,0.2091,0.2167
598,Papua New Guinea,0.305,0.2684,0.2345,0.1927,0.199,0.1923,0.1894,0.2328,0.2686,0.229,0.2562,0.3083,0.3358,0.3712,0.4081,0.4056,0.3938,0.392,0.2604,0.2367,0.2062
600,Paraguay,0.1303,0.1254,0.1424,0.1543,0.1763,0.1894,0.1785,0.1939,0.2069,0.21,0.178,0.1806,0.1923,0.1966,0.1908,0.1666,0.1673,0.159,0.1607,0.1729,0.17
