CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
792,Turkey,145855,148613,153105,159133,156845,171971,188198,198528,200607,196768,216148,194538,205678,218509,225407,237369,261571,284658,285274,277845,298002
795,Turkmenistan, , ,28067,27664,33476,34620,31364,30157,26490,34759,35365,39270,40245,42215,43337,45375,46256,53516,55093,48525,53054
796,Turks and Caicos Islands, , , , , ,11,11,11,15,15,15,15,99,103,103,121,143,158,158,161,161
800,Uganda,803,829,840,832,763,994,1115,1148,1349,1408,1533,1621,1668,1709,1852,2285,2655,3128,3161,3366,3784
804,Ukraine, , ,641681,546112,447011,445944,412336,341196,328637,332549,320774,321651,318684,352259,343121,333869,326480,327595,323459,261813,304805
810,Union of Soviet Socialist Republics [former],3796526,3659318, , , , , , , , , , , , , , , , , , , 
784,United Arab Emirates,52009,57011,58137,65980,73131,70641,41059,41646,81495,78375,112562,101415,84704,106842,113241,116149,123875,139405,158935,162602,167597
826,United Kingdom,571051,584351,578062,558579,555239,555668,571363,545573,545290,535551,543662,550552,531939,540640,540409,541986,542041,528906,522467,475108,493505
834,Tanzania,2373,2435,2362,2637,2446,3553,3462,2882,2556,2538,2651,3128,3590,3806,4353,5618,5959,6150,6538,6447,6846
840,United States,4768138,4826703,4922196,5029767,5121560,5156169,5286047,5419441,5456093,5531692,5713560,5601405,5650950,5681664,5790765,5826394,5737616,5828697,5656839,5311840,5433057
858,Uruguay,3993,4554,5170,4466,4067,4591,5442,5556,5688,6725,5306,5090,4620,4598,5611,5776,6648,5999,8331,7891,6645
860,Uzbekistan, , ,114014,118532,110982,100912,103189,101781,117571,117421,119951,122038,126915,122683,119306,111888,116530,116944,120039,116607,104443
548,Vanuatu,70,66,66,66,66,66,84,88,84,84,81,88,84,81,55,55,48,95,92,117,117
862,Venezuela,122162,115441,105874,124355,129947,133237,122753,133963,167322,172617,152415,172525,193262,192103,168268,181630,171825,175785,186812,185341,201747
704,Viet Nam,21408,21452,21478,23007,26230,29090,34668,45100,47513,47693,53645,61140,70806,78767,90549,97942,102456,113651,127164,140057,150230
732,Western Sahara,198,198,198,202,202,209,213,220,224,235,238,238,238,238,238,238,238,238,238,238,238
