CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
670,Saint Vincent and the Grenadines,9.5,,,,,,,9.5,9.5,,4.8,4.8,22.7,22.7,22.7,22.7,18.2,18.2,18.2,18.2,21.7,14.3,17.4,17.4
882,Samoa,0,,,,,,,4.1,4.1,4.1,8.2,8.2,6.1,6.1,6.1,6.1,6.1,6.1,8.2,8.2,8.2,8.2,4.1,4.1
674,San Marino,11.7,,,,,,,11.7,11.7,13.3,13.3,13.3,16.7,16.7,16.7,16.7,16.7,11.7,11.7,15,16.7,16.7,18.3,16.7
678,Sao Tome and Principe,11.8,,,,,,,7.3,7.3,,9.1,9.1,9.1,9.1,9.1,9.1,9.1,7.3,1.8,7.3,7.3,18.2,18.2,18.2
682,Saudi Arabia,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,19.9
686,Senegal,12.5,,,,,,,11.7,11.7,12.1,12.1,12.1,16.7,19.2,19.2,19.2,19.2,19.2,22,22,22.7,22.7,22.7,42.7
688,Serbia,,,,,,,,,,,,,,,,,,20.4,20.4,21.6,21.6,21.6,22,33.2
891,Serbia and Montenegro,,,,,,,,,5.1,5.1,5.1,,7.2,7.2,7.9,7.9,7.9,,,,,,,
690,Seychelles,16,,,,,,,27.3,27.3,23.5,23.5,23.5,23.5,29.4,29.4,29.4,29.4,29.4,23.5,23.5,23.5,23.5,43.8,43.8
694,Sierra Leone,,,,,,,,6.3,,,8.8,8.8,8.8,14.5,14.5,14.5,14.5,14.5,13.2,13.2,13.2,13.2,12.9,12.4
702,Singapore,4.9,,,,,,,2.5,4.8,4.8,4.3,6.5,11.8,11.8,16,16,16,24.5,24.5,24.5,23.4,23.4,22.2,24.2
703,Slovakia,,,,,,,,14.7,14.7,12.7,12.7,14,14,19.3,19.3,16.7,16.7,20,19.3,19.3,18,15.3,16,18.7
705,Slovenia,,,,,,,,7.8,7.8,7.8,7.8,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,13.3,14.4,14.4,32.2,32.2
90,Solomon Islands,0,,,,,,,2.1,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2
706,Somalia,4,,,,,,,,,,,,,,,,8,7.8,8.2,,6.9,6.8,6.8,13.8
710,South Africa,2.8,,,,,,,25,25,29.5,30,29.8,29.8,29.8,29.8,32.8,32.8,32.8,33,33,44.5,44.5,42.3,42.3
728,South Sudan,,,,,,,,,,,,,,,,,,,,,,,26.5,26.5
724,Spain,14.6,,,,,,,24.6,24.7,24.7,21.6,28.3,28.3,28.3,28.3,36,36,36,36.6,36.3,36.6,36.6,36,36
